dataset	run_accession	sample_accession	sample_alias	run_alias	library_layout	instrument_model	read_count	base_count	n_files	bytes	submitted_names
reads_2022	SRR32696681	SAMN47381948	H14R302um_2022	H14R302um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	77860589	23513897878	2	10754012545	
reads_2022	SRR32696682	SAMN47381947	H14R301um_2022	H14R301um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	69792764	21077414728	2	9620573163	
reads_2022	SRR32696683	SAMN47381982	H53_02um_2022_Nanopore	H53_02um_2022_Nanopore.fastq.gz	SINGLE	MinION	11455922	12300154078	1	11817099223	
reads_2022	SRR32696684	SAMN47381981	H52_02um_2022_Nanopore	H52_02um_2022_Nanopore.fastq.gz	SINGLE	MinION	7824716	9802941258	1	9417486956	
reads_2022	SRR32696685	SAMN47381980	H51_02um_2022_Nanopore	H51_02um_2022_Nanopore.fastq.gz	SINGLE	MinION	5189644	6433016254	1	6152281041	
reads_2022	SRR32696686	SAMN47381979	H41_02um_2022_Nanopore	H41_02um_2022_Nanopore.fastq.gz	SINGLE	MinION	7213584	12850597273	1	12125303198	
reads_2022	SRR32696687	SAMN47381978	H32_02um_2022_Nanopore	H32_02um_2022_Nanopore.fastq.gz	SINGLE	MinION	3420943	8463431742	1	7935962590	
reads_2022	SRR32696688	SAMN47381977	H14_02um_2022_Nanopore	H14_02um_2022_Nanopore.fastq.gz	SINGLE	MinION	5054826	11953877304	1	11166236059	
reads_2022	SRR32696689	SAMN47381976	H53R302um_2022	H53R302um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	72074985	21766645470	2	10016034350	
reads_2022	SRR32696690	SAMN47381975	H53R301um_2022	H53R301um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	61469042	18563650684	2	8040535031	
reads_2022	SRR32696691	SAMN47381974	H53R202um_2022	H53R202um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	83258252	25143992104	2	11461041506	
reads_2022	SRR32696692	SAMN47381973	H53R201um_2022	H53R201um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	56686037	17119183174	2	7699953619	
reads_2022	SRR32696693	SAMN47381946	H14R202um_2022	H14R202um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	88660452	26775456504	2	12436207623	
reads_2022	SRR32696694	SAMN47381972	H53R102um_2022	H53R102um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	87442824	26407732848	2	12068471210	
reads_2022	SRR32696695	SAMN47381971	H53R101um_2022	H53R101um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	87119267	26310018634	2	12248094022	
reads_2022	SRR32696696	SAMN47381970	H52R302um_2022	H52R302um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	84250516	25443655832	2	11711131495	
reads_2022	SRR32696697	SAMN47381969	H52R301um_2022	H52R301um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	76533445	23113100390	2	10719689866	
reads_2022	SRR32696698	SAMN47381968	H52R202um_2022	H52R202um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	72527013	21903157926	2	10243143368	
reads_2022	SRR32696699	SAMN47381967	H52R201um_2022	H52R201um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	83792731	25305404762	2	11835346745	
reads_2022	SRR32696700	SAMN47381966	H52R102um_2022	H52R102um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	83671523	25268799946	2	11719730781	
