dataset	relpath	url	bytes	md5	drop
reads_2019	ERR3858123/ERR3858123_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/003/ERR3858123/ERR3858123_2.fastq.gz	5602529959	28c96bed4d44d241a7f51ed5fc7e9a41	1
reads_2019	ERR3858124/ERR3858124_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/004/ERR3858124/ERR3858124_1.fastq.gz	5575032472	7e989495aeb699ed1b9945195c4a8ed0	1
reads_2019	ERR3858124/ERR3858124_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/004/ERR3858124/ERR3858124_2.fastq.gz	5543025412	5435695a3e6b213b027db2ad47f732d0	1
reads_2019	ERR3858125/ERR3858125_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/005/ERR3858125/ERR3858125_1.fastq.gz	5707415255	83cdb4c55463a06f3bdfd386ab173a05	1
reads_2019	ERR3858125/ERR3858125_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/005/ERR3858125/ERR3858125_2.fastq.gz	5669379117	5131ea395dd15b517902492b3136e819	1
reads_2019	ERR3858126/ERR3858126_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/006/ERR3858126/ERR3858126_1.fastq.gz	6738616915	cdb01cbf93eff870af36b789b6e65656	1
reads_2019	ERR3858126/ERR3858126_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/006/ERR3858126/ERR3858126_2.fastq.gz	6819022755	0cfa78f4ae48f23bdf8cbf9f8f779f1d	1
reads_2019	ERR3858127/ERR3858127_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/007/ERR3858127/ERR3858127_1.fastq.gz	6087060888	b2345f932bb5ff1a8592291bf238d064	1
reads_2019	ERR3858127/ERR3858127_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/007/ERR3858127/ERR3858127_2.fastq.gz	6082427052	38655523f88e64a1dbc626c1131ba033	1
reads_2019	ERR3858128/ERR3858128_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/008/ERR3858128/ERR3858128_1.fastq.gz	6646041337	cbb114edd01444dcfc729cd740a9f545	1
reads_2019	ERR3858128/ERR3858128_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/008/ERR3858128/ERR3858128_2.fastq.gz	6644358894	2055df47be25d32b1c45e4237f9aee8b	1
reads_2019	ERR3858129/ERR3858129_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/009/ERR3858129/ERR3858129_1.fastq.gz	6612997656	31d063342d46464e3872586bb48cce2c	1
reads_2019	ERR3858129/ERR3858129_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/009/ERR3858129/ERR3858129_2.fastq.gz	6610987258	33ef2c06449449cffabc2b1c23cdbdf7	1
reads_2019	ERR3858130/ERR3858130_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/000/ERR3858130/ERR3858130_1.fastq.gz	6819783618	678b51b990abae8950034aecbad0fbfe	1
reads_2019	ERR3858130/ERR3858130_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/000/ERR3858130/ERR3858130_2.fastq.gz	6850539642	58dc7460055d2a84370871174f2bf5a7	1
reads_2019	ERR3858131/ERR3858131_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/001/ERR3858131/ERR3858131_1.fastq.gz	6757697009	da92a28d30788f2200d18b1731857f73	1
reads_2019	ERR3858131/ERR3858131_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/001/ERR3858131/ERR3858131_2.fastq.gz	6746333808	a7e6d0c1d7abf0b57697f40d4824b100	1
reads_2019	ERR3858132/ERR3858132_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/002/ERR3858132/ERR3858132_1.fastq.gz	6768195063	eb51119160cbb6dc5da80105f00301ec	1
reads_2019	ERR3858132/ERR3858132_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/002/ERR3858132/ERR3858132_2.fastq.gz	6775045479	a9b61c86bd8d4d3dd620762243e44178	1
reads_2019	ERR3858133/ERR3858133_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/003/ERR3858133/ERR3858133_1.fastq.gz	6798845870	75316915f064226d64a8295fb3d39df1	1
reads_2019	ERR3858133/ERR3858133_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/003/ERR3858133/ERR3858133_2.fastq.gz	6829805996	3147f63a97bbe4c1ea94c35e9eb43445	1
reads_2019	ERR3858134/ERR3858134_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/004/ERR3858134/ERR3858134_1.fastq.gz	6669610094	de67814b81652d816468718688a513a2	1
reads_2019	ERR3858134/ERR3858134_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/004/ERR3858134/ERR3858134_2.fastq.gz	6658602197	71cda0435d3d928d3d67c6616173439c	1
reads_2019	ERR3858135/ERR3858135_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/005/ERR3858135/ERR3858135_1.fastq.gz	6792140647	874a5103946a4d4c73af96becdc0a646	1
reads_2019	ERR3858135/ERR3858135_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/005/ERR3858135/ERR3858135_2.fastq.gz	6815298245	567accea7f9190092cacba80f3d7a8f5	1
reads_2019	ERR3858136/ERR3858136_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/006/ERR3858136/ERR3858136_1.fastq.gz	6718658255	626e75a5d79a1a3094b5ba140b4d59e6	1
reads_2019	ERR3858136/ERR3858136_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/006/ERR3858136/ERR3858136_2.fastq.gz	6749559633	db7d6df7f4e6cfbf6c129f24d8cc2876	1
reads_2019	ERR3858137/ERR3858137_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/007/ERR3858137/ERR3858137_1.fastq.gz	6650661232	6d76c1059f0c123bb7f7eedf94bd1c09	1
reads_2019	ERR3858137/ERR3858137_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/007/ERR3858137/ERR3858137_2.fastq.gz	6647273200	64e9b750b82bf65f89deb3aeadf3a190	1
reads_2019	ERR3858138/ERR3858138_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/008/ERR3858138/ERR3858138_1.fastq.gz	6193272630	bf86c1b924a6fd8ab8e1a0fb75a316b2	1
reads_2019	ERR3858138/ERR3858138_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/008/ERR3858138/ERR3858138_2.fastq.gz	6203508929	4f99932ee2b3fd1940e9cd8f4742525a	1
reads_2019	ERR3858139/ERR3858139_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/009/ERR3858139/ERR3858139_1.fastq.gz	6781501905	7f8591d45b0079c976a1b1f758ea905a	1
reads_2019	ERR3858139/ERR3858139_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/009/ERR3858139/ERR3858139_2.fastq.gz	6786022267	e1fd867262f77d7f073c921e53f791d5	1
reads_2019	ERR3858140/ERR3858140_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/000/ERR3858140/ERR3858140_1.fastq.gz	6585292941	12a47e53db4b23ef4a1d2b3123102c6c	1
reads_2019	ERR3858140/ERR3858140_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/000/ERR3858140/ERR3858140_2.fastq.gz	6635162013	3187730c4b9cfef6bad467651ff88565	1
reads_2019	ERR3858141/ERR3858141_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/001/ERR3858141/ERR3858141_1.fastq.gz	6740048249	e1d3903093228a2f59707277df3d5bcf	1
reads_2019	ERR3858141/ERR3858141_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/001/ERR3858141/ERR3858141_2.fastq.gz	6738084463	8ae46455cabf8f2de58b11aa24a06752	1
reads_2022	SRR32696677/SRR32696677_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/077/SRR32696677/SRR32696677_1.fastq.gz	5234733547	b79d8041d4d19225b3f3b48a58b443ea	1
reads_2022	SRR32696677/SRR32696677_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/077/SRR32696677/SRR32696677_2.fastq.gz	5493038567	dbf771552e96d9c2aa84b20311bbed88	1
reads_2022	SRR32696678/SRR32696678_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/078/SRR32696678/SRR32696678_1.fastq.gz	4587890997	ab464f97e91d843b61183d796269fb9f	1
reads_2022	SRR32696678/SRR32696678_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/078/SRR32696678/SRR32696678_2.fastq.gz	4772807432	96894eb984a4b970bfa47ee3885512ab	1
reads_2022	SRR32696679/SRR32696679_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/079/SRR32696679/SRR32696679_1.fastq.gz	5401608159	b806fff6ecf81390b99bd86e673e7caf	1
reads_2022	SRR32696679/SRR32696679_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/079/SRR32696679/SRR32696679_2.fastq.gz	5639478761	e3d14e491e7195cfd0bfa0ad2dbc5396	1
reads_2022	SRR32696680/SRR32696680_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/080/SRR32696680/SRR32696680_1.fastq.gz	5739208629	c95145be44af35e45c91c639c206d9db	1
reads_2022	SRR32696680/SRR32696680_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/080/SRR32696680/SRR32696680_2.fastq.gz	6016241185	ee2d27a60ef8a1c8b5e1b46746387c7d	1
reads_2022	SRR32696681/SRR32696681_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/081/SRR32696681/SRR32696681_1.fastq.gz	5279509982	db46481cae6b5717e46bbd8c328b90cf	1
reads_2022	SRR32696681/SRR32696681_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/081/SRR32696681/SRR32696681_2.fastq.gz	5474502563	f7d66ac7f5c605c5fbafe6d2898a52f9	1
reads_2022	SRR32696682/SRR32696682_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/082/SRR32696682/SRR32696682_1.fastq.gz	4698269084	6d2a9c299824275afd8207aa50a77faa	1
reads_2022	SRR32696682/SRR32696682_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/082/SRR32696682/SRR32696682_2.fastq.gz	4922304079	9b911bba251d52bcf46497469241de82	1
reads_2022	SRR32696683/SRR32696683_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/083/SRR32696683/SRR32696683_1.fastq.gz	11817099223	e0284981dd8fa491f89e1612372e4d25	1
reads_2022	SRR32696684/SRR32696684_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/084/SRR32696684/SRR32696684_1.fastq.gz	9417486956	2c52d6146ef901cb08f75198396a2ed5	1
reads_2022	SRR32696685/SRR32696685_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/085/SRR32696685/SRR32696685_1.fastq.gz	6152281041	464be53f4e3a5dd1bff0827a953c5e25	1
reads_2022	SRR32696686/SRR32696686_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/086/SRR32696686/SRR32696686_1.fastq.gz	12125303198	6e134f7aad151ce92418f5a04c6220b5	1
reads_2022	SRR32696687/SRR32696687_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/087/SRR32696687/SRR32696687_1.fastq.gz	7935962590	6adc11739029e1b5ed49ad0f6ba467d7	1
reads_2022	SRR32696688/SRR32696688_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/088/SRR32696688/SRR32696688_1.fastq.gz	11166236059	ced74a5031cc86546b4d1f1b26734916	1
reads_2022	SRR32696689/SRR32696689_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/089/SRR32696689/SRR32696689_1.fastq.gz	4895003502	e117bf8b8a44543de9c01439cf111af2	1
reads_2022	SRR32696689/SRR32696689_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/089/SRR32696689/SRR32696689_2.fastq.gz	5121030848	13cef3e8c24690d3d258de96bc7d088d	1
reads_2022	SRR32696690/SRR32696690_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/090/SRR32696690/SRR32696690_1.fastq.gz	3916155189	0b09a9c4add0be0c31dbee19b14c04df	1
reads_2022	SRR32696690/SRR32696690_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/090/SRR32696690/SRR32696690_2.fastq.gz	4124379842	516534da72a77240016e895191a8b069	1
reads_2022	SRR32696691/SRR32696691_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/091/SRR32696691/SRR32696691_1.fastq.gz	5650881148	a955aee5208f17b4fda5a639aaa37fdf	1
reads_2022	SRR32696691/SRR32696691_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/091/SRR32696691/SRR32696691_2.fastq.gz	5810160358	7fb0013f9a1d6d8c5350a2a6af02dda6	1
reads_2022	SRR32696692/SRR32696692_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/092/SRR32696692/SRR32696692_1.fastq.gz	3759489373	f7f517523c2c2e171a695fffc3502092	1
reads_2022	SRR32696692/SRR32696692_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/092/SRR32696692/SRR32696692_2.fastq.gz	3940464246	e001ffc46ffaab629d969679567dac59	1
reads_2022	SRR32696693/SRR32696693_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/093/SRR32696693/SRR32696693_1.fastq.gz	6059613658	2678516cab6401869dc260fd67dcf906	1
