revision	model	split	n	balanced	unbalanced	unusable	refused	movable_n	movable_balanced	prompt_tokens	completion_tokens	tokens_per_rxn	seconds	rxn_per_min	harness_errors	note
aam_r0	qwen3-32b	dev	400	21	98	255	26	383	15	593583	125620	1798	1792.0	13.4	1	baseline under constrained decoding
aam_r1	qwen3-32b	dev	400	57	247	59	37	383	50	889924	129864	2549	2310.3	10.4	29	structure annotations, worked polymer cases
aam_r2	qwen3-32b	dev	400	60	233	71	36	383	53	1055506	129010	2961	1891.1	12.7	30	count C/N/O/P/S and close with WATER or CO2, else refuse
aam_r2	qwen3-32b	controls	200	199	1	0	0	0	0	590290	29144	3097	426.1	28.2	1	control gate: count C/N/O/P/S and close with WATER or CO2, else refuse
aam_r3	qwen3-32b	dev	400	49	226	70	55	383	43	1155500	143731	3248	1928.6	12.4	26	working scratchpad emitted first, schema-ordered
aam_r3	qwen3-32b	controls	200	174	21	2	3	0	0	635602	39320	3375	544.9	22.0	2	control gate: working scratchpad emitted first, schema-ordered
aam_r2	qwen3-32b	heldout	842	106	499	152	85	784	84	2229352	277867	2978	4003.0	12.6	57	FINAL: frozen prompt, held-out scored once
aam_r2	qwen3-32b	controls	200	199	0	1	0	0	0	590290	29107	3097	430.0	27.9	1	control gate: FINAL: frozen prompt, held-out scored once
