metric	condition	nn_quantile	nn_threshold	floor	n_adjudicable	n_fired	n_correct	precision	recall	f1	coverage	mnxr_macro_precision	mnxr_macro_recall	mnxr_macro_f1	mnxr_mean_pred_size
zscore	pool	0.85	1.0	0.85	1288	220	216	0.9818	0.1677	0.2865	0.1708	0.9634	0.0568	0.1073	1.258
zscore	pool	0.85	1.0	0.9	1288	212	210	0.9906	0.163	0.28	0.1646	0.9714	0.0561	0.1061	1.268
zscore	pool	0.9	1.0	0.0	1288	171	170	0.9942	0.132	0.233	0.1328	0.6622	0.0486	0.0906	6.398
zscore	pool	0.9	1.0	0.05	1288	170	167	0.9824	0.1297	0.2291	0.132	0.7141	0.0461	0.0865	3.76
zscore	pool	0.9	1.0	0.1	1288	170	157	0.9235	0.1219	0.2154	0.132	0.7449	0.0434	0.0821	2.596
zscore	pool	0.9	1.0	0.15	1288	168	148	0.881	0.1149	0.2033	0.1304	0.7489	0.0393	0.0747	2.047
zscore	pool	0.9	1.0	0.2	1288	164	143	0.872	0.111	0.197	0.1273	0.7775	0.0377	0.0719	1.681
zscore	pool	0.9	1.0	0.25	1288	163	137	0.8405	0.1064	0.1888	0.1266	0.7744	0.0352	0.0673	1.461
zscore	pool	0.9	1.0	0.3	1288	160	135	0.8438	0.1048	0.1865	0.1242	0.7963	0.0349	0.0669	1.379
zscore	pool	0.9	1.0	0.35	1288	151	130	0.8609	0.1009	0.1807	0.1172	0.8248	0.0342	0.0656	1.342
zscore	pool	0.9	1.0	0.4	1288	146	130	0.8904	0.1009	0.1813	0.1134	0.8528	0.0341	0.0656	1.327
zscore	pool	0.9	1.0	0.45	1288	142	129	0.9085	0.1002	0.1804	0.1102	0.8802	0.0341	0.0656	1.315
zscore	pool	0.9	1.0	0.5	1288	141	127	0.9007	0.0986	0.1777	0.1095	0.8758	0.0329	0.0635	1.31
zscore	pool	0.9	1.0	0.55	1288	137	126	0.9197	0.0978	0.1768	0.1064	0.894	0.0321	0.0621	1.319
zscore	pool	0.9	1.0	0.6	1288	132	122	0.9242	0.0947	0.1718	0.1025	0.9013	0.0317	0.0612	1.308
zscore	pool	0.9	1.0	0.65	1288	129	120	0.9302	0.0932	0.1694	0.1002	0.9067	0.0315	0.0609	1.308
zscore	pool	0.9	1.0	0.7	1288	124	118	0.9516	0.0916	0.1671	0.0963	0.9333	0.031	0.06	1.28
zscore	pool	0.9	1.0	0.75	1288	123	118	0.9593	0.0916	0.1673	0.0955	0.9409	0.0309	0.0599	1.266
zscore	pool	0.9	1.0	0.8	1288	116	113	0.9741	0.0877	0.161	0.0901	0.9544	0.0298	0.0578	1.231
zscore	pool	0.9	1.0	0.85	1288	112	111	0.9911	0.0862	0.1586	0.087	0.9705	0.0295	0.0573	1.23
zscore	pool	0.9	1.0	0.9	1288	110	109	0.9909	0.0846	0.1559	0.0854	0.97	0.0293	0.0568	1.234
zscore	pool	0.95	1.0	0.0	1288	171	170	0.9942	0.132	0.233	0.1328	0.6622	0.0486	0.0906	6.398
zscore	pool	0.95	1.0	0.05	1288	170	167	0.9824	0.1297	0.2291	0.132	0.7141	0.0461	0.0865	3.76
zscore	pool	0.95	1.0	0.1	1288	170	157	0.9235	0.1219	0.2154	0.132	0.7449	0.0434	0.0821	2.596
zscore	pool	0.95	1.0	0.15	1288	168	148	0.881	0.1149	0.2033	0.1304	0.7489	0.0393	0.0747	2.047
zscore	pool	0.95	1.0	0.2	1288	164	143	0.872	0.111	0.197	0.1273	0.7775	0.0377	0.0719	1.681
zscore	pool	0.95	1.0	0.25	1288	163	137	0.8405	0.1064	0.1888	0.1266	0.7744	0.0352	0.0673	1.461
zscore	pool	0.95	1.0	0.3	1288	160	135	0.8438	0.1048	0.1865	0.1242	0.7963	0.0349	0.0669	1.379
zscore	pool	0.95	1.0	0.35	1288	151	130	0.8609	0.1009	0.1807	0.1172	0.8248	0.0342	0.0656	1.342
zscore	pool	0.95	1.0	0.4	1288	146	130	0.8904	0.1009	0.1813	0.1134	0.8528	0.0341	0.0656	1.327
zscore	pool	0.95	1.0	0.45	1288	142	129	0.9085	0.1002	0.1804	0.1102	0.8802	0.0341	0.0656	1.315
zscore	pool	0.95	1.0	0.5	1288	141	127	0.9007	0.0986	0.1777	0.1095	0.8758	0.0329	0.0635	1.31
zscore	pool	0.95	1.0	0.55	1288	137	126	0.9197	0.0978	0.1768	0.1064	0.894	0.0321	0.0621	1.319
zscore	pool	0.95	1.0	0.6	1288	132	122	0.9242	0.0947	0.1718	0.1025	0.9013	0.0317	0.0612	1.308
zscore	pool	0.95	1.0	0.65	1288	129	120	0.9302	0.0932	0.1694	0.1002	0.9067	0.0315	0.0609	1.308
zscore	pool	0.95	1.0	0.7	1288	124	118	0.9516	0.0916	0.1671	0.0963	0.9333	0.031	0.06	1.28
zscore	pool	0.95	1.0	0.75	1288	123	118	0.9593	0.0916	0.1673	0.0955	0.9409	0.0309	0.0599	1.266
zscore	pool	0.95	1.0	0.8	1288	116	113	0.9741	0.0877	0.161	0.0901	0.9544	0.0298	0.0578	1.231
zscore	pool	0.95	1.0	0.85	1288	112	111	0.9911	0.0862	0.1586	0.087	0.9705	0.0295	0.0573	1.23
zscore	pool	0.95	1.0	0.9	1288	110	109	0.9909	0.0846	0.1559	0.0854	0.97	0.0293	0.0568	1.234
