metric	condition	nn_quantile	nn_threshold	floor	n_adjudicable	n_fired	n_correct	precision	recall	f1	coverage	mnxr_macro_precision	mnxr_macro_recall	mnxr_macro_f1	mnxr_mean_pred_size
dot	self	0.3	15.6416	0.05	1288	901	813	0.9023	0.6312	0.7428	0.6995	0.6253	0.222	0.3277	3.627
dot	self	0.3	15.6416	0.1	1288	901	766	0.8502	0.5947	0.6999	0.6995	0.6519	0.2075	0.3148	2.619
dot	self	0.3	15.6416	0.15	1288	897	729	0.8127	0.566	0.6673	0.6964	0.6674	0.1948	0.3016	2.026
dot	self	0.3	15.6416	0.2	1288	888	696	0.7838	0.5404	0.6397	0.6894	0.6791	0.1857	0.2916	1.728
dot	self	0.3	15.6416	0.25	1288	874	669	0.7654	0.5194	0.6189	0.6786	0.6919	0.1765	0.2813	1.554
dot	self	0.3	15.6416	0.3	1288	855	652	0.7626	0.5062	0.6085	0.6638	0.7147	0.1724	0.2778	1.439
dot	self	0.3	15.6416	0.35	1288	829	635	0.766	0.493	0.5999	0.6436	0.7304	0.1684	0.2737	1.35
dot	self	0.3	15.6416	0.4	1288	795	625	0.7862	0.4852	0.6001	0.6172	0.7584	0.1648	0.2707	1.295
dot	self	0.3	15.6416	0.45	1288	767	609	0.794	0.4728	0.5927	0.5955	0.7723	0.1598	0.2648	1.282
dot	self	0.3	15.6416	0.5	1288	722	593	0.8213	0.4604	0.59	0.5606	0.8033	0.1552	0.2602	1.283
dot	self	0.3	15.6416	0.55	1288	696	582	0.8362	0.4519	0.5867	0.5404	0.8175	0.1524	0.2569	1.286
dot	self	0.3	15.6416	0.6	1288	652	559	0.8574	0.434	0.5763	0.5062	0.8414	0.1468	0.25	1.279
dot	self	0.3	15.6416	0.65	1288	632	550	0.8703	0.427	0.5729	0.4907	0.8545	0.144	0.2465	1.272
dot	self	0.3	15.6416	0.7	1288	602	536	0.8904	0.4161	0.5672	0.4674	0.8747	0.1401	0.2415	1.274
dot	self	0.3	15.6416	0.75	1288	576	521	0.9045	0.4045	0.559	0.4472	0.8896	0.1371	0.2376	1.281
dot	self	0.3	15.6416	0.8	1288	547	504	0.9214	0.3913	0.5493	0.4247	0.9087	0.1321	0.2307	1.261
dot	self	0.3	15.6416	0.85	1288	519	489	0.9422	0.3797	0.5412	0.403	0.9289	0.1278	0.2248	1.266
dot	self	0.3	15.6416	0.9	1288	489	469	0.9591	0.3641	0.5279	0.3797	0.9463	0.123	0.2177	1.239
