metric	condition	nn_quantile	nn_threshold	floor	n_adjudicable	n_fired	n_correct	precision	recall	f1	coverage	mnxr_macro_precision	mnxr_macro_recall	mnxr_macro_f1	mnxr_mean_pred_size
whiten	self	0.7	1.0	0.55	1288	391	376	0.9616	0.2919	0.4479	0.3036	0.9446	0.1043	0.1878	1.317
whiten	self	0.7	1.0	0.6	1288	379	367	0.9683	0.2849	0.4403	0.2943	0.9521	0.1026	0.1853	1.317
whiten	self	0.7	1.0	0.65	1288	369	360	0.9756	0.2795	0.4345	0.2865	0.9589	0.1006	0.1822	1.312
whiten	self	0.7	1.0	0.7	1288	361	354	0.9806	0.2748	0.4294	0.2803	0.9635	0.0979	0.1777	1.305
whiten	self	0.7	1.0	0.75	1288	350	348	0.9943	0.2702	0.4249	0.2717	0.9781	0.0963	0.1753	1.3
whiten	self	0.7	1.0	0.8	1288	346	344	0.9942	0.2671	0.4211	0.2686	0.9778	0.0951	0.1734	1.295
whiten	self	0.7	1.0	0.85	1288	341	340	0.9971	0.264	0.4174	0.2648	0.9804	0.0932	0.1702	1.296
whiten	self	0.7	1.0	0.9	1288	337	337	1.0	0.2616	0.4148	0.2616	0.9832	0.0915	0.1675	1.3
whiten	self	0.75	1.0	0.0	1288	333	333	1.0	0.2585	0.4109	0.2585	0.762	0.0922	0.1645	4.904
whiten	self	0.75	1.0	0.05	1288	333	331	0.994	0.257	0.4084	0.2585	0.8038	0.0907	0.1629	3.087
whiten	self	0.75	1.0	0.1	1288	333	324	0.973	0.2516	0.3998	0.2585	0.8381	0.0882	0.1596	2.159
whiten	self	0.75	1.0	0.15	1288	331	317	0.9577	0.2461	0.3916	0.257	0.8526	0.0858	0.1559	1.834
whiten	self	0.75	1.0	0.2	1288	325	311	0.9569	0.2415	0.3856	0.2523	0.8815	0.0842	0.1538	1.555
whiten	self	0.75	1.0	0.25	1288	322	303	0.941	0.2352	0.3764	0.25	0.8816	0.0812	0.1487	1.449
whiten	self	0.75	1.0	0.3	1288	314	299	0.9522	0.2321	0.3733	0.2438	0.9132	0.0805	0.148	1.359
whiten	self	0.75	1.0	0.35	1288	307	292	0.9511	0.2267	0.3661	0.2384	0.9199	0.0783	0.1444	1.338
whiten	self	0.75	1.0	0.4	1288	300	288	0.96	0.2236	0.3627	0.2329	0.9406	0.0772	0.1427	1.32
whiten	self	0.75	1.0	0.45	1288	296	285	0.9628	0.2213	0.3598	0.2298	0.9465	0.0761	0.1408	1.314
whiten	self	0.75	1.0	0.5	1288	291	281	0.9656	0.2182	0.3559	0.2259	0.949	0.0752	0.1394	1.316
whiten	self	0.75	1.0	0.55	1288	287	279	0.9721	0.2166	0.3543	0.2228	0.9553	0.0751	0.1392	1.321
whiten	self	0.75	1.0	0.6	1288	279	273	0.9785	0.212	0.3484	0.2166	0.963	0.0741	0.1377	1.319
whiten	self	0.75	1.0	0.65	1288	273	269	0.9853	0.2089	0.3447	0.212	0.9695	0.0727	0.1353	1.308
whiten	self	0.75	1.0	0.7	1288	268	265	0.9888	0.2057	0.3406	0.2081	0.9726	0.071	0.1324	1.299
whiten	self	0.75	1.0	0.75	1288	261	260	0.9962	0.2019	0.3357	0.2026	0.9815	0.0698	0.1304	1.291
whiten	self	0.75	1.0	0.8	1288	258	257	0.9961	0.1995	0.3325	0.2003	0.9813	0.0688	0.1285	1.283
whiten	self	0.75	1.0	0.85	1288	256	256	1.0	0.1988	0.3316	0.1988	0.985	0.0687	0.1285	1.285
whiten	self	0.75	1.0	0.9	1288	254	254	1.0	0.1972	0.3294	0.1972	0.9849	0.0672	0.1258	1.287
whiten	self	0.8	1.0	0.0	1288	333	333	1.0	0.2585	0.4109	0.2585	0.762	0.0922	0.1645	4.904
whiten	self	0.8	1.0	0.05	1288	333	331	0.994	0.257	0.4084	0.2585	0.8038	0.0907	0.1629	3.087
whiten	self	0.8	1.0	0.1	1288	333	324	0.973	0.2516	0.3998	0.2585	0.8381	0.0882	0.1596	2.159
whiten	self	0.8	1.0	0.15	1288	331	317	0.9577	0.2461	0.3916	0.257	0.8526	0.0858	0.1559	1.834
whiten	self	0.8	1.0	0.2	1288	325	311	0.9569	0.2415	0.3856	0.2523	0.8815	0.0842	0.1538	1.555
whiten	self	0.8	1.0	0.25	1288	322	303	0.941	0.2352	0.3764	0.25	0.8816	0.0812	0.1487	1.449
whiten	self	0.8	1.0	0.3	1288	314	299	0.9522	0.2321	0.3733	0.2438	0.9132	0.0805	0.148	1.359
whiten	self	0.8	1.0	0.35	1288	307	292	0.9511	0.2267	0.3661	0.2384	0.9199	0.0783	0.1444	1.338
whiten	self	0.8	1.0	0.4	1288	300	288	0.96	0.2236	0.3627	0.2329	0.9406	0.0772	0.1427	1.32
whiten	self	0.8	1.0	0.45	1288	296	285	0.9628	0.2213	0.3598	0.2298	0.9465	0.0761	0.1408	1.314
whiten	self	0.8	1.0	0.5	1288	291	281	0.9656	0.2182	0.3559	0.2259	0.949	0.0752	0.1394	1.316
whiten	self	0.8	1.0	0.55	1288	287	279	0.9721	0.2166	0.3543	0.2228	0.9553	0.0751	0.1392	1.321
whiten	self	0.8	1.0	0.6	1288	279	273	0.9785	0.212	0.3484	0.2166	0.963	0.0741	0.1377	1.319
whiten	self	0.8	1.0	0.65	1288	273	269	0.9853	0.2089	0.3447	0.212	0.9695	0.0727	0.1353	1.308
whiten	self	0.8	1.0	0.7	1288	268	265	0.9888	0.2057	0.3406	0.2081	0.9726	0.071	0.1324	1.299
whiten	self	0.8	1.0	0.75	1288	261	260	0.9962	0.2019	0.3357	0.2026	0.9815	0.0698	0.1304	1.291
whiten	self	0.8	1.0	0.8	1288	258	257	0.9961	0.1995	0.3325	0.2003	0.9813	0.0688	0.1285	1.283
whiten	self	0.8	1.0	0.85	1288	256	256	1.0	0.1988	0.3316	0.1988	0.985	0.0687	0.1285	1.285
whiten	self	0.8	1.0	0.9	1288	254	254	1.0	0.1972	0.3294	0.1972	0.9849	0.0672	0.1258	1.287
whiten	self	0.85	1.0	0.0	1288	333	333	1.0	0.2585	0.4109	0.2585	0.762	0.0922	0.1645	4.904
whiten	self	0.85	1.0	0.05	1288	333	331	0.994	0.257	0.4084	0.2585	0.8038	0.0907	0.1629	3.087
whiten	self	0.85	1.0	0.1	1288	333	324	0.973	0.2516	0.3998	0.2585	0.8381	0.0882	0.1596	2.159
whiten	self	0.85	1.0	0.15	1288	331	317	0.9577	0.2461	0.3916	0.257	0.8526	0.0858	0.1559	1.834
whiten	self	0.85	1.0	0.2	1288	325	311	0.9569	0.2415	0.3856	0.2523	0.8815	0.0842	0.1538	1.555
whiten	self	0.85	1.0	0.25	1288	322	303	0.941	0.2352	0.3764	0.25	0.8816	0.0812	0.1487	1.449
whiten	self	0.85	1.0	0.3	1288	314	299	0.9522	0.2321	0.3733	0.2438	0.9132	0.0805	0.148	1.359
