metric	condition	nn_quantile	nn_threshold	floor	n_adjudicable	n_fired	n_correct	precision	recall	f1	coverage	mnxr_macro_precision	mnxr_macro_recall	mnxr_macro_f1	mnxr_mean_pred_size
cosine	self	0.0	0.4324	0.55	1288	898	685	0.7628	0.5318	0.6267	0.6972	0.7358	0.1836	0.2939	1.294
cosine	self	0.0	0.4324	0.6	1288	862	666	0.7726	0.5171	0.6195	0.6693	0.751	0.1797	0.29	1.292
cosine	self	0.0	0.4324	0.65	1288	823	650	0.7898	0.5047	0.6158	0.639	0.7675	0.175	0.285	1.294
cosine	self	0.0	0.4324	0.7	1288	774	629	0.8127	0.4884	0.6101	0.6009	0.7897	0.1696	0.2792	1.275
cosine	self	0.0	0.4324	0.75	1288	739	617	0.8349	0.479	0.6088	0.5738	0.8153	0.1666	0.2767	1.272
cosine	self	0.0	0.4324	0.8	1288	704	603	0.8565	0.4682	0.6054	0.5466	0.8384	0.1626	0.2724	1.261
cosine	self	0.0	0.4324	0.85	1288	673	589	0.8752	0.4573	0.6007	0.5225	0.8601	0.1588	0.2682	1.234
cosine	self	0.0	0.4324	0.9	1288	626	566	0.9042	0.4394	0.5914	0.486	0.8878	0.1536	0.2618	1.24
cosine	self	0.05	0.5672	0.0	1288	1221	1030	0.8436	0.7997	0.821	0.948	0.5066	0.2914	0.37	7.285
cosine	self	0.05	0.5672	0.05	1288	1220	982	0.8049	0.7624	0.7831	0.9472	0.5497	0.2717	0.3637	4.13
cosine	self	0.05	0.5672	0.1	1288	1215	914	0.7523	0.7096	0.7303	0.9433	0.5794	0.2515	0.3508	2.672
cosine	self	0.05	0.5672	0.15	1288	1201	861	0.7169	0.6685	0.6918	0.9325	0.5881	0.2344	0.3352	2.071
cosine	self	0.05	0.5672	0.2	1288	1169	829	0.7092	0.6436	0.6748	0.9076	0.6159	0.2259	0.3306	1.735
cosine	self	0.05	0.5672	0.25	1288	1132	793	0.7005	0.6157	0.6554	0.8789	0.6269	0.2142	0.3193	1.565
cosine	self	0.05	0.5672	0.3	1288	1084	770	0.7103	0.5978	0.6492	0.8416	0.6545	0.209	0.3168	1.45
cosine	self	0.05	0.5672	0.35	1288	1048	756	0.7214	0.587	0.6473	0.8137	0.681	0.2063	0.3167	1.377
cosine	self	0.05	0.5672	0.4	1288	1003	741	0.7388	0.5753	0.6469	0.7787	0.7017	0.2016	0.3132	1.351
cosine	self	0.05	0.5672	0.45	1288	965	719	0.7451	0.5582	0.6383	0.7492	0.7173	0.1928	0.3039	1.308
cosine	self	0.05	0.5672	0.5	1288	909	700	0.7701	0.5435	0.6372	0.7057	0.7447	0.1862	0.2979	1.308
cosine	self	0.05	0.5672	0.55	1288	863	685	0.7937	0.5318	0.6369	0.67	0.7695	0.1836	0.2965	1.301
cosine	self	0.05	0.5672	0.6	1288	828	666	0.8043	0.5171	0.6295	0.6429	0.7833	0.1797	0.2923	1.298
