metric	condition	nn_quantile	nn_threshold	floor	n_adjudicable	n_fired	n_correct	precision	recall	f1	coverage	mnxr_macro_precision	mnxr_macro_recall	mnxr_macro_f1	mnxr_mean_pred_size
correlation	pool	0.9	1.0	0.4	1288	174	151	0.8678	0.1172	0.2066	0.1351	0.8554	0.04	0.0764	1.322
correlation	pool	0.9	1.0	0.45	1288	171	151	0.883	0.1172	0.207	0.1328	0.8733	0.04	0.0765	1.316
correlation	pool	0.9	1.0	0.5	1288	168	150	0.8929	0.1165	0.206	0.1304	0.8829	0.0399	0.0764	1.321
correlation	pool	0.9	1.0	0.55	1288	160	147	0.9187	0.1141	0.203	0.1242	0.9083	0.0388	0.0745	1.337
correlation	pool	0.9	1.0	0.6	1288	158	146	0.9241	0.1134	0.2019	0.1227	0.9135	0.0385	0.0739	1.329
correlation	pool	0.9	1.0	0.65	1288	152	142	0.9342	0.1102	0.1972	0.118	0.9232	0.0379	0.0728	1.322
correlation	pool	0.9	1.0	0.7	1288	146	138	0.9452	0.1071	0.1925	0.1134	0.9338	0.0371	0.0714	1.322
correlation	pool	0.9	1.0	0.75	1288	141	134	0.9504	0.104	0.1875	0.1095	0.9385	0.0363	0.07	1.319
correlation	pool	0.9	1.0	0.8	1288	134	132	0.9851	0.1025	0.1857	0.104	0.9726	0.0356	0.0686	1.328
correlation	pool	0.9	1.0	0.85	1288	128	128	1.0	0.0994	0.1808	0.0994	0.987	0.0342	0.066	1.344
correlation	pool	0.9	1.0	0.9	1288	121	121	1.0	0.0939	0.1718	0.0939	0.9917	0.0326	0.063	1.223
correlation	pool	0.95	1.0	0.0	1288	215	214	0.9953	0.1661	0.2848	0.1669	0.5943	0.0618	0.112	7.353
correlation	pool	0.95	1.0	0.05	1288	215	210	0.9767	0.163	0.2794	0.1669	0.6582	0.0579	0.1065	4.158
correlation	pool	0.95	1.0	0.1	1288	215	198	0.9209	0.1537	0.2635	0.1669	0.722	0.0536	0.0997	2.549
correlation	pool	0.95	1.0	0.15	1288	211	186	0.8815	0.1444	0.2482	0.1638	0.7452	0.0516	0.0966	1.995
