metric	condition	nn_quantile	nn_threshold	floor	n_adjudicable	n_fired	n_correct	precision	recall	f1	coverage	mnxr_macro_precision	mnxr_macro_recall	mnxr_macro_f1	mnxr_mean_pred_size
euclidean	twin	0.5	16.5437	0.15	1288	641	570	0.8892	0.4425	0.591	0.4977	0.7601	0.1562	0.2592	1.857
euclidean	twin	0.5	16.5437	0.2	1288	635	554	0.8724	0.4301	0.5762	0.493	0.7822	0.1507	0.2527	1.576
euclidean	twin	0.5	16.5437	0.25	1288	623	538	0.8636	0.4177	0.5631	0.4837	0.7955	0.1443	0.2443	1.44
euclidean	twin	0.5	16.5437	0.3	1288	607	530	0.8731	0.4115	0.5594	0.4713	0.8261	0.1417	0.2419	1.363
euclidean	twin	0.5	16.5437	0.35	1288	597	523	0.876	0.4061	0.5549	0.4635	0.8399	0.1386	0.2379	1.301
euclidean	twin	0.5	16.5437	0.4	1288	573	512	0.8935	0.3975	0.5502	0.4449	0.8662	0.1357	0.2346	1.256
euclidean	twin	0.5	16.5437	0.45	1288	558	500	0.8961	0.3882	0.5417	0.4332	0.8758	0.1325	0.2302	1.24
euclidean	twin	0.5	16.5437	0.5	1288	543	494	0.9098	0.3835	0.5396	0.4216	0.8917	0.1315	0.2292	1.237
euclidean	twin	0.5	16.5437	0.55	1288	516	479	0.9283	0.3719	0.531	0.4006	0.9112	0.1276	0.2238	1.242
euclidean	twin	0.5	16.5437	0.6	1288	491	463	0.943	0.3595	0.5205	0.3812	0.926	0.1223	0.216	1.246
euclidean	twin	0.5	16.5437	0.65	1288	482	455	0.944	0.3533	0.5141	0.3742	0.9296	0.1196	0.212	1.247
euclidean	twin	0.5	16.5437	0.7	1288	468	449	0.9594	0.3486	0.5114	0.3634	0.9446	0.1182	0.2101	1.241
euclidean	twin	0.5	16.5437	0.75	1288	451	435	0.9645	0.3377	0.5003	0.3502	0.9503	0.1125	0.2011	1.237
euclidean	twin	0.5	16.5437	0.8	1288	437	427	0.9771	0.3315	0.4951	0.3393	0.9624	0.1103	0.198	1.238
euclidean	twin	0.5	16.5437	0.85	1288	426	419	0.9836	0.3253	0.4889	0.3307	0.9712	0.109	0.1961	1.235
euclidean	twin	0.5	16.5437	0.9	1288	409	406	0.9927	0.3152	0.4785	0.3175	0.9798	0.1071	0.193	1.232
euclidean	twin	0.55	17.4038	0.0	1288	581	571	0.9828	0.4433	0.611	0.4511	0.6771	0.163	0.2627	5.198
euclidean	twin	0.55	17.4038	0.05	1288	581	552	0.9501	0.4286	0.5907	0.4511	0.7173	0.1549	0.2548	3.258
euclidean	twin	0.55	17.4038	0.1	1288	581	537	0.9243	0.4169	0.5746	0.4511	0.7543	0.1508	0.2514	2.324
euclidean	twin	0.55	17.4038	0.15	1288	578	514	0.8893	0.3991	0.5509	0.4488	0.7652	0.144	0.2424	1.853
euclidean	twin	0.55	17.4038	0.2	1288	572	501	0.8759	0.389	0.5387	0.4441	0.788	0.1396	0.2371	1.572
euclidean	twin	0.55	17.4038	0.25	1288	561	486	0.8663	0.3773	0.5257	0.4356	0.8035	0.1332	0.2286	1.438
euclidean	twin	0.55	17.4038	0.3	1288	547	479	0.8757	0.3719	0.5221	0.4247	0.8298	0.131	0.2263	1.367
euclidean	twin	0.55	17.4038	0.35	1288	539	472	0.8757	0.3665	0.5167	0.4185	0.8403	0.1279	0.222	1.303
euclidean	twin	0.55	17.4038	0.4	1288	517	462	0.8936	0.3587	0.5119	0.4014	0.8662	0.1251	0.2186	1.256
euclidean	twin	0.55	17.4038	0.45	1288	504	451	0.8948	0.3502	0.5033	0.3913	0.8748	0.1222	0.2145	1.242
euclidean	twin	0.55	17.4038	0.5	1288	491	447	0.9104	0.347	0.5025	0.3812	0.8928	0.1214	0.2137	1.238
euclidean	twin	0.55	17.4038	0.55	1288	468	436	0.9316	0.3385	0.4966	0.3634	0.9152	0.1182	0.2094	1.243
euclidean	twin	0.55	17.4038	0.6	1288	448	423	0.9442	0.3284	0.4873	0.3478	0.9271	0.114	0.203	1.254
euclidean	twin	0.55	17.4038	0.65	1288	442	418	0.9457	0.3245	0.4832	0.3432	0.9316	0.1124	0.2006	1.253
euclidean	twin	0.55	17.4038	0.7	1288	432	415	0.9606	0.3222	0.4826	0.3354	0.9462	0.1113	0.1992	1.245
euclidean	twin	0.55	17.4038	0.75	1288	415	401	0.9663	0.3113	0.4709	0.3222	0.9524	0.1056	0.1901	1.241
euclidean	twin	0.55	17.4038	0.8	1288	402	393	0.9776	0.3051	0.4651	0.3121	0.9633	0.1035	0.1869	1.241
euclidean	twin	0.55	17.4038	0.85	1288	392	386	0.9847	0.2997	0.4595	0.3043	0.9713	0.1023	0.185	1.242
euclidean	twin	0.55	17.4038	0.9	1288	376	373	0.992	0.2896	0.4483	0.2919	0.9781	0.1003	0.1819	1.239
euclidean	twin	0.6	18.2144	0.0	1288	515	506	0.9825	0.3929	0.5613	0.3998	0.6857	0.1462	0.241	5.031
euclidean	twin	0.6	18.2144	0.05	1288	515	493	0.9573	0.3828	0.5469	0.3998	0.7266	0.1405	0.2355	3.227
euclidean	twin	0.6	18.2144	0.1	1288	515	480	0.932	0.3727	0.5324	0.3998	0.7612	0.1367	0.2318	2.318
euclidean	twin	0.6	18.2144	0.15	1288	513	458	0.8928	0.3556	0.5086	0.3983	0.7711	0.1302	0.2228	1.852
euclidean	twin	0.6	18.2144	0.2	1288	509	446	0.8762	0.3463	0.4964	0.3952	0.7901	0.1262	0.2177	1.562
euclidean	twin	0.6	18.2144	0.25	1288	499	433	0.8677	0.3362	0.4846	0.3874	0.8051	0.1211	0.2105	1.426
euclidean	twin	0.6	18.2144	0.3	1288	485	426	0.8784	0.3307	0.4805	0.3766	0.8338	0.1189	0.2082	1.356
euclidean	twin	0.6	18.2144	0.35	1288	478	421	0.8808	0.3269	0.4768	0.3711	0.846	0.117	0.2056	1.296
euclidean	twin	0.6	18.2144	0.4	1288	459	413	0.8998	0.3207	0.4728	0.3564	0.8719	0.1147	0.2028	1.252
euclidean	twin	0.6	18.2144	0.45	1288	448	403	0.8996	0.3129	0.4643	0.3478	0.88	0.1122	0.199	1.239
euclidean	twin	0.6	18.2144	0.5	1288	437	399	0.913	0.3098	0.4626	0.3393	0.8953	0.1114	0.1981	1.236
euclidean	twin	0.6	18.2144	0.55	1288	417	390	0.9353	0.3028	0.4575	0.3238	0.9191	0.1084	0.1939	1.24
euclidean	twin	0.6	18.2144	0.6	1288	401	380	0.9476	0.295	0.45	0.3113	0.9308	0.1044	0.1877	1.249
euclidean	twin	0.6	18.2144	0.65	1288	396	376	0.9495	0.2919	0.4466	0.3075	0.9337	0.1032	0.1858	1.247
euclidean	twin	0.6	18.2144	0.7	1288	387	373	0.9638	0.2896	0.4454	0.3005	0.9477	0.1021	0.1844	1.238
euclidean	twin	0.6	18.2144	0.75	1288	371	359	0.9677	0.2787	0.4328	0.288	0.9522	0.0964	0.1751	1.237
euclidean	twin	0.6	18.2144	0.8	1288	359	352	0.9805	0.2733	0.4274	0.2787	0.9645	0.0944	0.172	1.237
euclidean	twin	0.6	18.2144	0.85	1288	350	345	0.9857	0.2679	0.4212	0.2717	0.9707	0.0932	0.17	1.237
euclidean	twin	0.6	18.2144	0.9	1288	338	335	0.9911	0.2601	0.4121	0.2624	0.9756	0.0915	0.1672	1.243
euclidean	twin	0.65	18.9043	0.0	1288	451	444	0.9845	0.3447	0.5106	0.3502	0.6946	0.1249	0.2118	5.053
euclidean	twin	0.65	18.9043	0.05	1288	451	434	0.9623	0.337	0.4991	0.3502	0.7334	0.1201	0.2064	3.22
euclidean	twin	0.65	18.9043	0.1	1288	451	422	0.9357	0.3276	0.4853	0.3502	0.7677	0.117	0.2031	2.304
euclidean	twin	0.65	18.9043	0.15	1288	449	406	0.9042	0.3152	0.4675	0.3486	0.7835	0.1124	0.1965	1.853
euclidean	twin	0.65	18.9043	0.2	1288	445	396	0.8899	0.3075	0.457	0.3455	0.8033	0.11	0.1935	1.564
euclidean	twin	0.65	18.9043	0.25	1288	436	385	0.883	0.2989	0.4466	0.3385	0.8182	0.1053	0.1866	1.442
euclidean	twin	0.65	18.9043	0.3	1288	424	380	0.8962	0.295	0.4439	0.3292	0.8488	0.1043	0.1858	1.372
